rank,value_score,model,year,km,price,motivation_score,price_drop_pct,num_price_cuts,bump_count,days_on_market,is_clean,is_bayi,damage_changed_count,damage_painted_count,damage_local_painted_count,feature_count,battery,seller_type,heavy_damage_record,km_per_year,price_score,km_score,damage_score,feature_score,depr_score,trim_mult,clean_bonus,bayi_bonus,new_changed_penalty,price_history,dq_reason,sahibinden_id,title,url
75,57.5,GTS,2021,99000,6600000,22.9,5.7,1,2,52,Yes,No,0.0,0.0,0.0,0.0,PB Plus (93.4 kWh),Sahibinden,Hayır,19800,0.707,0.34,1.0,0.0,0.25,1.1,5.0,0.0,0.0,"6,750,000 (04 May 26) -> 7,000,000 (01 Jun 26) -> 6,600,000 (17 Jun 26)",,1311265802,SAHİBİNDEN-ÖZEL SİPARİŞ-GTS-HATASIZ BOYASIZ-TRAMERSİZ-S BAKIMLI,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-sahibinden-ozel-siparis-gts-hatasiz-boyasiz-tramersiz-s-bakimli-1311265802/detay
76,57.2,4S,2023,67000,9150000,3.8,0.0,0,1,16,No,Yes,0.0,2.0,0.0,30.0,PB (79.2 kWh),Galeriden,Hayır,22333,0.843,0.256,0.75,0.526,0.6,1.0,0.0,3.0,0.0,"8,750,000 (09 Jun 26) -> 9,150,000 (17 Jun 26)",,1320788470,CEYLAN MOTORS 2023 BAYİ PORSCHE TAYCAN ELEKTRİK 4S SOĞUTMA+NAVİ,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-ceylan-motors-2023-bayi-porsche-taycan-elektrik-4s-sogutma-plusnavi-1320788470/detay
77,57.0,Turbo S,2020,14500,9050000,0.0,0.0,0,0,0,Yes,Yes,0.0,0.0,0.0,33.0,PB Plus (93.4 kWh),Sahibinden,Hayır,2417,0.047,0.919,1.0,0.579,0.1,1.08,5.0,3.0,0.0,"9,050,000 (25 Jun 26)",,1324193713,SAHİBİNDEN HATASIZ DÜŞÜK KM,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-sahibinden-hatasiz-dusuk-km-1324193713/detay
78,57.0,4S,2023,72000,9500000,19.2,2.1,1,2,71,Yes,No,0.0,0.0,0.0,45.0,PB (79.2 kWh),Sahibinden,Hayır,24000,0.464,0.2,1.0,0.789,0.6,1.0,5.0,0.0,0.0,"9,700,000 (15 Apr 26) -> 9,500,000 (04 May 26)",,1308999093,PORSCHE TAYCAN 4S PERFORMANCE PLUS,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-porsche-taycan-4s-performance-plus-1308999093/detay
79,56.5,Turbo S,2020,36000,8700000,13.6,1.1,2,1,16,Yes,Yes,0.0,0.0,0.0,0.0,PB Plus (93.4 kWh),Galeriden,Hayır,6000,0.347,0.8,1.0,0.0,0.1,1.08,5.0,3.0,0.0,"8,800,000 (09 Jun 26) -> 8,750,000 (11 Jun 26) -> 8,700,000 (25 Jun 26)",,1321341539,SEM | CAR PORSCHE CARBON TAYCAN TURBO S BAYİİ 36.000 KM,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-sem-car-porsche-carbon-taycan-turbo-s-bayii-36.000-km-1321341539/detay
80,56.4,4S,2022,58500,8200000,0.9,0.0,0,0,8,Yes,Yes,0.0,0.0,0.0,0.0,PB Plus (93.4 kWh),Galeriden,Hayır,14625,0.523,0.512,1.0,0.0,0.4,1.0,5.0,3.0,0.0,"8,200,000 (17 Jun 26)",,1322565356,BAYİ 2022 TAYCAN 4S PERFORMANCE PLUS SOĞUTMA-BOSE -360°-BOYASZ,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-bayi-2022-taycan-4s-performance-plus-sogutma-bose-360-boyasz-1322565356/detay
81,56.3,4S,2022,49500,7800000,39.1,4.9,1,6,138,No,No,2.0,0.0,0.0,30.0,PB (79.2 kWh),Galeriden,Hayır,12375,1.09,0.588,0.5,0.526,0.4,1.0,0.0,0.0,0.0,"7,500,000 (07 Feb 26) -> 8,200,000 (01 Mar 26) -> 7,800,000 (17 May 26)",,1296943780,BK'DAN 2022 TAYCAN 4S PERFORMANCE PLUS 49.000KM,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-bk-dan-2022-taycan-4s-performance-plus-49.000km-1296943780/detay
82,56.2,4S,2023,78000,9400000,18.9,0.0,0,3,116,Yes,No,0.0,0.0,0.0,30.0,PB (79.2 kWh),Galeriden,Hayır,26000,0.572,0.133,1.0,0.526,0.6,1.0,5.0,0.0,0.0,"9,400,000 (01 Mar 26)",,1302714551,ZENN MOTORS'TAN 2023 PORSCHE TAYCAN 4S KIRMIZI DERİ HATASIZ,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-zenn-motors-tan-2023-porsche-taycan-4s-kirmizi-deri-hatasiz-1302714551/detay
83,56.2,Taycan,2021,81000,6670000,45.7,5.4,5,3,100,Yes,Yes,0.0,0.0,0.0,34.0,PB (79.2 kWh),Sahibinden,Hayır,16200,0.642,0.46,1.0,0.596,0.25,0.95,5.0,3.0,0.0,"7,050,000 (17 Mar 26) -> 7,000,000 (24 Mar 26) -> 7,050,000 (01 Apr 26) -> 6,800,000 (04 May 26) -> 6,700,000 (17 May 26) -> 6,699,000 (01 Jun 26) -> 6,670,000 (25 Jun 26)",,1303818757,BAYİ-HATASIZ-BO­YASIZ-GARANTİLİ P.PLUS BATARYA-TAYCAN,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-bayi-hatasiz-boyasiz-garantili-p.plus-batarya-taycan-1303818757/detay
84,56.0,Turbo,2020,15000,8275000,0.0,0.0,0,0,0,Yes,Yes,0.0,0.0,0.0,47.0,PB Plus (93.4 kWh),Galeriden,Hayır,2500,-0.014,0.917,1.0,0.825,0.1,1.05,5.0,3.0,0.0,"8,275,000 (25 Jun 26)",,1324255427,ULAŞ MOTORS'DAN BOYASIZ TURBO ISITMA+SOGUTM­A+MATRIX+İÇİ KIRMIZI+,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-ulas-motors-dan-boyasiz-turbo-isitma-plussogutma-plusmatrix-plusici-kirmizi-plus-1324255427/detay
